,symbol,emoji,kline,alert_price,Time_(MSK)
87,ZILUSDT,💥💥💥,1 kline,alert price: 0.02147,2023-11-09 17:11:23.897000
88,MASKUSDT,💥💥💥,1 kline,alert price: 3.521,2023-11-09 17:11:23.127000
89,HBARUSDT,💥💥💥,1 kline,alert price: 0.06133,2023-11-09 17:11:22.696000
90,ICXUSDT,💥💥💥,1 kline,alert price: 0.2411,2023-11-09 17:11:20.129000
91,ICXUSDT,💥💥💥,1 kline,alert price: 0.2411,2023-11-09 17:11:20.129000
92,BTCUSDT_231229,💥💥💥,1 kline,alert price: 38280.2,2023-11-09 17:11:18.549000
93,BTCUSDT_240329,💥💥💥,1 kline,alert price: 39031.9,2023-11-09 17:11:18.318000
94,‼️‼️‼️‼️‼️,BITCOIN PUMP,‼️‼️‼️‼️‼️,alert price: 37900.0,2023-11-09 20:11:14.400000
95,‼️‼️‼️‼️‼️,BITCOIN PUMP,‼️‼️‼️‼️‼️,alert price: 37900.0,2023-11-09 17:11:14.400000
96,AUDIOUSDT,💥💥💥,1 kline,alert price: 0.1915,2023-11-09 17:09:44.845000
97,AUDIOUSDT,💥💥💥,1 kline,alert price: 0.1915,2023-11-09 17:09:44.845000
98,SKLUSDT,🌊🌊🌊,2 kline,alert price: 0.03009,2023-11-09 17:01:41.917000
99,GMXUSDT,🌊🌊🌊,2 kline,alert price: 50.42,2023-11-09 17:01:33.226000
100,GMXUSDT,🌊🌊🌊,2 kline,alert price: 50.42,2023-11-09 17:01:33.226000
